2018-05-06 10:40:56.654950: {'loss': 1.0348855, 'avg': 1.41, 'accuracy': 0.47, 'spare': 0.29999999999999993, 'var': -1, 'steps': 17700}
2018-05-06 10:40:57.061173: {'loss': 1.0300888, 'avg': 1.41, 'accuracy': 0.46, 'spare': 0.29999999999999993, 'var': -1, 'steps': 17800}
2018-05-06 10:40:57.503201: {'loss': 1.029236, 'avg': 1.43, 'accuracy': 0.47, 'spare': 0.30999999999999994, 'var': -1, 'steps': 17900}
2018-05-06 10:40:57.883001: {'loss': 1.0311813, 'avg': 1.42, 'accuracy': 0.43, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18000}
2018-05-06 10:40:58.348703: {'loss': 1.0414032, 'avg': 1.37, 'accuracy': 0.51, 'spare': 0.29999999999999993, 'var': -1, 'steps': 18100}
2018-05-06 10:40:58.890879: {'loss': 1.028829, 'avg': 1.41, 'accuracy': 0.47, 'spare': 0.29999999999999993, 'var': -1, 'steps': 18200}
2018-05-06 10:40:59.335184: {'loss': 1.0301191, 'avg': 1.41, 'accuracy': 0.48, 'spare': 0.29999999999999993, 'var': -1, 'steps': 18300}
2018-05-06 10:40:59.740050: {'loss': 1.0249522, 'avg': 1.43, 'accuracy': 0.47, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18400}
2018-05-06 10:41:00.184422: {'loss': 1.0238518, 'avg': 1.43, 'accuracy': 0.47, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18500}
2018-05-06 10:41:00.565329: {'loss': 1.0283014, 'avg': 1.4000000000000001, 'accuracy': 0.43, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18600}
2018-05-06 10:41:00.956279: {'loss': 1.0211041, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18700}
2018-05-06 10:41:01.420966: {'loss': 1.0449141, 'avg': 1.37, 'accuracy': 0.48, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18800}
2018-05-06 10:41:01.837423: {'loss': 1.0290428, 'avg': 1.42, 'accuracy': 0.49, 'spare': 0.30999999999999994, 'var': -1, 'steps': 18900}
2018-05-06 10:41:02.250365: {'loss': 1.0219355, 'avg': 1.41, 'accuracy': 0.47, 'spare': 0.29999999999999993, 'var': -1, 'steps': 19000}
2018-05-06 10:41:02.646307: {'loss': 1.0186372, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19100}
2018-05-06 10:41:03.042223: {'loss': 1.0318557, 'avg': 1.3900000000000001, 'accuracy': 0.45, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19200}
2018-05-06 10:41:03.447456: {'loss': 1.0522898, 'avg': 1.35, 'accuracy': 0.49, 'spare': 0.29999999999999993, 'var': -1, 'steps': 19300}
2018-05-06 10:41:03.841229: {'loss': 1.0150437, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19400}
2018-05-06 10:41:04.246329: {'loss': 1.0141585, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19500}
2018-05-06 10:41:04.643595: {'loss': 1.0155191, 'avg': 1.41, 'accuracy': 0.48, 'spare': 0.29999999999999993, 'var': -1, 'steps': 19600}
2018-05-06 10:41:05.070856: {'loss': 1.0125707, 'avg': 1.43, 'accuracy': 0.48, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19700}
2018-05-06 10:41:05.473848: {'loss': 1.0114906, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19800}
2018-05-06 10:41:05.884930: {'loss': 1.0108819, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 19900}
2018-05-06 10:41:06.284598: {'loss': 1.0099418, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 20000}
2018-05-06 10:41:06.662143: {'loss': 1.0093715, 'avg': 1.42, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 20100}
2018-05-06 10:41:07.047407: {'loss': 1.0116881, 'avg': 1.43, 'accuracy': 0.47, 'spare': 0.30999999999999994, 'var': -1, 'steps': 20200}
2018-05-06 10:41:07.474838: {'loss': 1.0076683, 'avg': 1.43, 'accuracy': 0.46, 'spare': 0.30999999999999994, 'var': -1, 'steps': 20300}
2018-05-06 10:41:07.891733: {'loss': 1.0071921, 'avg': 1.41, 'accuracy': 0.47, 'spare': 0.29999999999999993, 'var': -1, 'steps': 20400}
2018-05-06 10:41:08.286522: {'loss': 1.0110215, 'avg': 1.43, 'accuracy': 0.48, 'spare': 0.30999999999999994, 'var': -1, 'steps': 20500}
